ID	NAME	SECONDARY ID	FORMULA	MASS	SMILES	PDB ACCESSION
CHEBI:23178	cholest-7-ene		C27H46	370.65414	[H][C@@]1(CC[C@@]2([H])C3=CCC4CCCC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C		
CHEBI:28051	veratridine	CHEBI:27281; CHEBI:9952	C36H51NO11	673.79028	[H][C@@]12CC[C@H](C)CN1C[C@@]1([H])[C@]3(O)C[C@]45O[C@]6(O)[C@H](CC[C@@]4(C)[C@]6([H])CC[C@@]5([H])[C@]3(O)C[C@H](O)[C@]1(O)[C@]2(C)O)OC(=O)c1ccc(OC)c(OC)c1		
CHEBI:28810	cholest-5-ene	CHEBI:2045; CHEBI:23174; CHEBI:23175	C27H46	370.65414	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4CCCC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C		
CHEBI:35652	cevine		C27H43NO8	509.63220	[H][C@@]12CC[C@H](C)CN1C[C@@]1([H])[C@]3(O)C[C@]45O[C@]6(O)[C@H](O)CC[C@@]4(C)[C@]6([H])CC[C@@]5([H])[C@]3(O)C[C@H](O)[C@]1(O)[C@]2(C)O		
CHEBI:37925	androst-16-ene		C19H30	258.44150	[H][C@@]12CCC3CCCC[C@]3(C)[C@@]1([H])CC[C@]1(C)C=CC[C@@]21[H]		
CHEBI:37927	5alpha-androst-16-ene		C19H30	258.44150	[H][C@]12CCCC[C@]1(C)[C@@]1([H])CC[C@]3(C)C=CC[C@@]3([H])[C@]1([H])CC2		
CHEBI:52031	glycochenodeoxycholic acid 7-sulfate		C26H43NO8S	529.68700	[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@]3(C)[C@]([H])(CC[C@@]3([H])[C@]1([H])[C@@H](C2)OS(O)(=O)=O)[C@H](C)CCC(=O)NCC(O)=O		
CHEBI:61313	C21-steroid		C21H36	288.511	C1CCCC2C1(C3C(CC2)C4C(CC3)(C(CC4)CC)C)C		
CHEBI:138029	14alpha-methyl steroid		C20H33R	273.477	C12C([C@]3(C(C(CC3)*)(C)CC1)C)CCC4C2(CCCC4)C		
CHEBI:138031	Delta(14) steroid		C19H29R	257.434	C12C(C=3C(C(CC3)*)(C)CC1)CCC4C2(CCCC4)C		
CHEBI:9177	sodium deoxycholate		C24H39O4.Na; C24H39NaO4	414.55383	[Na+].[H][C@]12CC[C@@]3([H])[C@]4([H])CC[C@]([H])([C@H](C)CCC([O-])=O)[C@@]4(C)[C@@H](O)C[C@]3([H])[C@@]1(C)CC[C@@H](O)C2		
CHEBI:9410	taurodeoxycholic acid		C26H45NO6S	499.70464	[H][C@]12CC[C@@]3([H])[C@]4([H])CC[C@]([H])([C@H](C)CCC(=O)NCCS(O)(=O)=O)[C@@]4(C)[C@@H](O)C[C@]3([H])[C@@]1(C)CC[C@@H](O)C2		
